"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"2450-453","1","1","1","1","1","1","1","20240610","20240613"
"2450-659","1","1","1","1","1","1","1","20240506","20241231"
"2450-43","1","1","1","1","1","1","1","20240506","20240619"
"2450-87","1","1","1","1","1","1","1","20240527","20240527"
"2450-25","1","1","1","1","1","1","1","20240506","20240710"
"2450-27","1","1","1","1","1","1","1","20240620","20240710"
"2450-416","0","1","1","1","0","0","1","20240804","20240808"
"2450-337","0","1","1","1","1","1","1","20240512","20241222"
"2450-93","0","1","1","1","1","1","1","20240508","20241222"
"2450-386","0","1","1","1","1","1","1","20240508","20241222"
"2450-78","0","1","1","1","1","1","1","20240506","20241222"
"2450-445","0","1","1","1","1","1","1","20240628","20240925"
"2450-77","0","1","1","1","1","1","1","20240507","20241222"
"2450-793","1","0","0","0","0","0","0","20240701","20240701"
"2450-10","1","0","0","0","0","0","0","20240506","20240930"
"2450-82","1","0","0","0","0","0","0","20240506","20241223"
"2450-125","1","0","0","0","0","0","0","20240513","20241223"
"2450-415","1","0","0","0","0","0","0","20240803","20240808"
"2450-158","1","0","0","0","0","0","0","20240506","20241223"
"2450-755","1","0","0","0","0","0","0","20240506","20240826"
"2450-380","1","0","0","0","0","0","0","20240513","20241216"
"2450-205","1","0","0","0","0","0","0","20240511","20241223"
"2450-104","1","0","0","0","0","0","0","20240506","20241223"
"2450-363","1","0","0","0","0","0","0","20240513","20241223"
"2450-785","1","0","0","0","0","0","0","20240513","20241230"
"2450-301","0","0","0","0","1","0","1","20240506","20241222"
"2450-289","0","0","0","0","1","0","1","20240510","20240519"
"2450-131","0","0","0","0","0","1","0","20240506","20241223"
"2450-222","0","0","0","0","0","1","0","20240601","20240622"
"2450-263","0","0","0","0","0","1","0","20240511","20240622"
"2450-462","0","0","0","0","0","1","0","20240608","20240727"
"2450-686","0","0","0","0","0","1","0","20240506","20250101"
"2450-281","0","0","0","0","0","1","0","20240506","20241221"
"2450-229","0","0","0","0","0","1","0","20240517","20240519"
"2450-529","0","0","0","0","0","1","0","20240506","20250101"
"2450-502","0","0","0","0","0","1","0","20240506","20240531"
"2450-495","0","0","0","0","0","1","0","20240511","20240514"
"2450-239","0","0","0","0","0","1","0","20240510","20240512"
"2450-58","0","0","0","0","0","1","0","20240601","20240601"
"2450-187","0","0","0","0","0","1","0","20240506","20241221"
"2450-191","0","0","0","0","0","1","0","20240518","20241214"
"2450-259","0","0","0","0","0","1","0","20240511","20240622"
"2450-803","0","0","0","0","0","1","0","20240511","20240830"
"2450-694","0","0","0","0","0","1","0","20240506","20240830"
"2450-194","0","0","0","0","0","1","0","20240511","20241223"
"2450-458","0","0","0","0","0","1","0","20240713","20240714"
"2450-706","0","0","0","0","0","1","0","20240519","20240601"
"2450-809","0","0","0","0","0","1","0","20240506","20240824"
"2450-472","0","0","0","0","0","1","0","20240518","20240519"
"2450-830","0","0","0","0","0","1","0","20240506","20241006"
"2450-183","0","0","0","0","0","1","0","20240601","20241221"
"2450-405","0","0","0","0","0","1","0","20240518","20241221"
"2450-396","0","0","0","0","0","1","0","20240601","20241223"
"2450-856","0","0","0","0","0","1","0","20240506","20250101"
"2450-470","0","0","0","0","0","1","0","20240727","20240803"
"2450-270","0","0","0","0","0","1","0","20240511","20240518"
"2450-350","0","0","0","0","0","1","0","20240506","20241221"
"2450-711","0","0","0","0","0","1","0","20240506","20240609"
"2450-84","0","0","0","0","0","1","0","20240506","20241221"
"2450-69","0","0","0","0","0","1","0","20240506","20241223"
"2450-424","0","0","0","0","0","1","0","20240608","20240609"
"2450-225","0","0","0","0","0","1","0","20240525","20241221"
"2450-252","0","0","0","0","0","1","0","20240601","20240622"
"2450-427","0","0","0","0","0","1","0","20240622","20240623"
"2450-413","0","0","0","0","0","1","0","20240803","20240808"
"2450-103","0","0","0","0","0","1","0","20240506","20241223"
"2450-357","0","0","0","0","0","1","0","20240515","20241223"
"2450-743","0","0","0","0","0","1","0","20240506","20240518"
"2450-117","0","0","0","0","0","1","0","20240518","20241221"
"2450-209","0","0","0","0","0","1","0","20240511","20241221"
"2450-702","0","0","0","0","0","1","0","20240511","20250101"
"2450-275","0","0","0","0","0","1","0","20240511","20241221"
"2450-110","0","0","0","0","0","1","0","20240506","20241221"
"2450-595","0","0","0","0","0","1","0","20241228","20241228"
"2450-511","0","0","0","0","0","1","0","20240525","20240527"
"2450-434","0","0","0","0","0","1","0","20240524","20240527"
"2450-280","0","0","0","0","0","1","0","20240511","20240622"
"2450-718","0","0","0","0","0","1","0","20241102","20241102"
"2450-420","0","0","0","0","0","1","0","20240601","20240602"
"2450-304","0","0","0","0","0","1","0","20240510","20241223"
"2450-710","0","0","0","0","0","1","0","20240506","20240601"
"2450-148","0","0","1","0","1","0","0","20240507","20241223"
"2450-342","0","0","1","0","1","0","0","20240508","20241218"
"2450-265","1","0","1","1","1","1","0","20240511","20240624"
"2450-285","1","0","1","1","1","1","0","20240529","20240624"
"2450-262","1","0","1","1","1","1","0","20240511","20240624"
"2450-542","0","0","0","0","0","0","1","20240506","20250101"
