"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2450-490001295B","49097","Tolworth Station","51.378154","-0.279485","","","0","","Stop B","","1","",""
"2450-490001296A","51224","Tooting Station","51.419408","-0.161957","","","0","2450-910GTOOTING","Stop TC","","1","",""
"2450-490001296N","77113","Tooting Station","51.42103","-0.161014","","","0","2450-910GTOOTING","Stop TD","","1","",""
"2450-490001296S","75550","Tooting Station","51.420481","-0.160993","","","0","2450-910GTOOTING","Stop TT","","1","",""
"2450-490001298E","50055","Tulse Hill","51.440269","-0.107578","","","0","","Stop E","","1","",""
"2450-490001298F1","72731","Tulse Hill","51.440725","-0.106322","","","0","","Stop F","","1","",""
"2450-490001298G","57741","Tulse Hill","51.439427","-0.106116","","","0","","Stop G","","1","",""
"2450-490001299D","51755","Turkey Street Station","51.670356","-0.041023","","","0","","Stop G","","1","",""
"2450-490001299E","54195","Turkey Street Station","51.672277","-0.047854","","","0","","Stop","","1","",""
"2450-490001302S","55805","Upper Holloway Station","51.56398","-0.129499","","","0","","Stop S","","1","",""
"2450-490001302T","75274","Upper Holloway Station","51.563892","-0.129632","","","0","","Stop T","","1","",""
"2450-490001305A","48407","Waddon","51.365778","-0.118465","","","0","","Stop NN","","1","",""
"2450-490001305B","71002","Waddon","51.366204","-0.118146","","","0","","Stop SD","","1","",""
"2450-490001306A","74593","Wallington","51.361394","-0.150376","","","0","","Stop A","","1","",""
"2450-490001306C","55079","Wallington","51.360653","-0.150736","","","0","","Stop C","","1","",""
"2450-490001306D","71117","Wallington","51.3605","-0.150756","","","0","","Stop D","","1","",""
"2450-490001309A","54287","Wandsworth Common","51.445928","-0.166044","","","0","","Stop A","","1","",""
"2450-490001309B","72462","Wandsworth Common","51.446261","-0.165513","","","0","","Stop B","","1","",""
"2450-490001310A","48623","Wandsworth Road Station","51.469857","-0.140334","","","0","","Stop L","","1","",""
"2450-490001310B","50531","Westbury Street","51.469857","-0.140334","","","0","","Stop C","","1","",""
"2450-490001311E","54987","Wandsworth Town","51.461091","-0.187548","","","0","","Stop AA","","1","",""
"2450-490001312N","75620","Wanstead Park Station","51.551299","0.02497","","","0","","Stop J","","1","",""
"2450-490001312S","52073","Wanstead Park Station","51.551177","0.025267","","","0","","Stop K","","1","",""
"2450-490001318A","72268","Welling","51.464491","0.100178","","","0","","Stop A","","1","",""
"2450-490001318B","51147","Welling","51.464434","0.09983","","","0","","Stop B","","1","",""
